Collection,24 hs %,7 d %,Owners,Items,Category,Chain,Twitter followers,Ownership %,Volume (USD) in M,Floor (USD),Gas Volume (USD) in M,Market Share %,Growth,Ownership Status,Popularity,Accesibility,Gas Status,Market Status,Recommendation
goblintown.wtf,56.77,562.01,4500,10000,New,Ethereum,39500,45,23.21621268,5318.136,0.225,63.14,Hot - buy now,Low OS,Potential community,Top Collectors,High gas,Whale,Highly recommended
Chimpers,-35.62,-73.58,2800,5600,New,Ethereum,106700,50,15.16028193,3631.0032,0.14,41.23,Not interesting,Low OS,Community,Top Collectors,High gas,Whale,Sligthly recommended
GENE_SIS: The Girls of Armament,-42.52,-29.29,4500,10000,New,Ethereum,236800,45,10.19737907,385.1064,0.225,27.73,Not interesting,Low OS,Community,Middle Accesible,High gas,Whale,Give it a chance
AINightbirds,-53.6,0,4700,10000,New,Ethereum,11200,47,9.186401419,421.7832,0.235,24.98,Not interesting,Low OS,Potential community,Top Collectors,High gas,Whale,Sligthly recommended
Moonbirds Oddities,-18.56,0,6200,10000,New,Ethereum,201900,62,6.842698884,5024.7216,0.31,18.61,Not interesting,Medium OS,Community,Top Collectors,High gas,Whale,Sligthly recommended
Rarible,-1.81,-45.79,214100,315700,Art,Ethereum,477100,67.81754831,185.5226059,0,10.705,504.56,Not interesting,Medium OS,Community,Not interesting,High gas,Whale,Sligthly recommended
SuperRare,-94.3,-42,6800,31700,Art,Ethereum,314200,21.4511041,123.0906417,275.076,0.34,334.76,Not interesting,Very low OS,Community,Middle Accesible,High gas,Whale,Highly recommended
Karafuru,-80.87,-58.61,3700,5600,Art,Ethereum,419700,66.07142857,79.86494233,1925.532,0.185,217.2,Not interesting,Medium OS,Community,Top Collectors,High gas,Whale,Sligthly recommended
Mutant Ape Tatch Club,-42.63,-8.89,12600,19400,Collectibles,Ethereum,1900,64.94845361,743.5259718,29873.2536,0.63,2022.13,Not interesting,Medium OS,Emerging,Top Collectors,High gas,Whale,Give it a chance
Azuki,-31.67,-0.48,5100,10000,Collectibles,Ethereum,311600,51,447.8615968,18044.9856,0.255,1218.02,Not interesting,Medium OS,Community,Top Collectors,High gas,Whale,Sligthly recommended
Clone X  X TAKASHI MURAKAMI,-31.24,-39.13,9300,19300,Collectibles,Ethereum,26,48.1865285,375.0538759,22372.848,0.465,1020.01,Not interesting,Low OS,Emerging,Top Collectors,High gas,Whale,Sligthly recommended
ENS: Ethereum Name Service,-1.741,-26.23,400500,1200000,Domain Names,Ethereum,312,33.375,56.27765213,18.3384,20.025,153.06,Not interesting,Low OS,Emerging,Highly accesible,High gas,Whale,Highly recommended
Unstoppable Domains,2750,-53.25,64600,319000,Domain Names,Ethereum,254900,20.2507837,2.217479328,18.3384,3.23,6.03,Not interesting,Very low OS,Community,Highly accesible,High gas,Shark,Highly recommended
Decentraland Names,-100,104.93,13300,34000,Domain Names,Ethereum,2235,39.11764706,1.601327426,55.0152,0.665,4.36,Not interesting,Low OS,Emerging,Middle Accesible,High gas,Shark,Sligthly recommended
Cryptovoxels Nammes,0,-100,2600,9500,Domain Names,Ethereum,81800,27.36842105,0.029433132,55.0152,0.13,0.08,Not interesting,Not interesting,Community,Middle Accesible,High gas,Fish,Highly recommended
Domains.Kred,0,0,17,24,Domain Names,Ethereum,56500,70.83333333,0.0108379944,7151.976,0.00085,0.03,Not interesting,Not interesting,Community,Top Collectors,Medium gas,Fish,Highly recommended
WVRPS by WarpSound (Official),132.5,-42.68,4700,10000,Music,Ethereum,26400,47,11.01734395,256.7376,0.235,29.96,Not interesting,Low OS,Potential community,Middle Accesible,High gas,Whale,Highly recommended
The Orbs by BT,0,-8.2,1400,3300,Music,Ethereum,622700,42.42424242,4.472350654,550.152,0.07,12.16,Not interesting,Low OS,Community,Top Collectors,Medium gas,Shark,Highly recommended
EulerBeats Genesis,0,0,431,54,Music,Ethereum,14100,798.1481481,4.227294614,2017.224,0.02155,11.5,Not interesting,Massive OS,Potential community,Top Collectors,Medium gas,Shark,Give it a chance
EulerBeats Enigma,0,0,101,54,Music,Ethereum,14100,187.037037,3.69025457,0,0.00505,10.04,Not interesting,Massive OS,Potential community,Not interesting,Medium gas,Shark,Give it a chance
Audioglyphs,0,15.2,2700,10000,Music,Ethereum,3920,27,2.042659361,550.152,0.135,5.56,Not interesting,Low OS,Emerging,Top Collectors,High gas,Shark,Sligthly recommended
Justin Aversano - Twin Flames - Collection of 100 Twins Portraits,0,-100,88,100,Photography,Ethereum,78600,88,9.496833854,206307,0.0044,25.83,Not interesting,Medium OS,Community,Top Collectors,Medium gas,Whale,Not recommended
Where My Vans Go,-100,-75.29,102,123,Photography,Ethereum,119000,82.92682927,6.536355912,82522.8,0.0051,17.78,Not interesting,Medium OS,Community,Top Collectors,Medium gas,Whale,Not recommended
Women Unite - 10k Assemble,10.63,-48.84,1500,6700,Photography,Ethereum,9615,22.3880597,1.286695498,513.4752,0.075,3.5,Not interesting,Very low OS,Emerging,Top Collectors,Medium gas,Shark,Give it a chance
First Day Out by DrifterShoots,15.15,-53.23,6700,10400,Photography,Ethereum,119000,64.42307692,0.6920728776,73.3536,0.335,1.88,Not interesting,Medium OS,Community,Middle Accesible,High gas,Shark,Sligthly recommended
Editions x Guido,-33.73,-11.45,10400,2,Photography,Ethereum,25800,520000,0.662658084,91.692,0.52,1.8,Not interesting,Massive OS,Potential community,Middle Accesible,High gas,Shark,Give it a chance
The Association,-25.85,-3.549,15400,30000,Sports,Ethereum,27800,51.33333333,10.36433187,36.6768,0.77,28.19,Not interesting,Medium OS,Potential community,Highly accesible,High gas,Whale,Give it a chance
F1 Delta Time,0,-79.28,1800,40500,Sports,Ethereum,0,4.444444444,7.70957339,18.3384,0.09,20.97,Not interesting,Not interesting,Not interesting,Highly accesible,Medium gas,Whale,Not recommended
