,Collection,24 hs %,7 d %,Owners,Items,Category,Chain,Twitter followers,Ownership %,Volume (USD) in M,Floor (USD),Gas Volume (USD) in M,Gas %,Market Share %,Growth,Ownership Status,Popularity,Accesibility,Gas Status,Market Status
0,goblintown.wtf,56.769999999999996,562.01,4500,10000,New,Ethereum,39500,45.0,23.216212677599998,5318.1359999999995,0.225,0.00969150322339568,63.14,Hot - buy now,Low OS,Potential community,Top Collectors,High gas,Whale
1,Chimpers,-35.620000000000005,-73.58,2800,5600,New,Ethereum,106700,50.0,15.160281926399998,3631.0031999999997,0.14,0.009234656761640104,41.23,Not interesting,Low OS,Community,Top Collectors,High gas,Whale
2,GENE_SIS: The Girls of Armament,-42.52,-29.29,4500,10000,New,Ethereum,236800,45.0,10.197379072799999,385.10639999999995,0.225,0.022064493081379533,27.73,Not interesting,Low OS,Community,Middle Accesible,High gas,Whale
3,AINightbirds,-53.6,0.0,4700,10000,New,Ethereum,11200,47.0,9.1864014192,421.7832,0.235,0.025581290134876887,24.98,Not interesting,Low OS,Potential community,Top Collectors,High gas,Whale
4,Moonbirds Oddities,-18.56,0.0,6200,10000,New,Ethereum,201900,62.0,6.842698884,5024.7216,0.31,0.04530376175471643,18.61,Not interesting,Medium OS,Community,Top Collectors,High gas,Whale
7,Rarible,-1.81,-45.79,214100,315700,Art,Ethereum,477100,67.81754830535318,185.5226058696,0.0,10.705,0.05770186306850564,504.56,Not interesting,Medium OS,Community,Not interesting,High gas,Whale
8,SuperRare,-94.3,-42.0,6800,31700,Art,Ethereum,314200,21.451104100946374,123.090641712,275.07599999999996,0.34,0.0027621921152666614,334.76,Not interesting,Very low OS,Community,Middle Accesible,High gas,Whale
9,Karafuru,-80.87,-58.60999999999999,3700,5600,Art,Ethereum,419700,66.07142857142857,79.8649423344,1925.532,0.185,0.0023164106126239005,217.2,Not interesting,Medium OS,Community,Top Collectors,High gas,Whale
12,Mutant Ape Tatch Club,-42.63,-8.89,12600,19400,Collectibles,Ethereum,1900,64.94845360824742,743.5259717688,29873.253599999996,0.63,0.0008473140467457658,2022.13,Not interesting,Medium OS,Emerging,Top Collectors,High gas,Whale
13,Azuki,-31.669999999999998,-0.48,5100,10000,Collectibles,Ethereum,311600,51.0,447.86159679599996,18044.9856,0.255,0.0005693723280233647,1218.02,Not interesting,Medium OS,Community,Top Collectors,High gas,Whale
14,Clone X  X TAKASHI MURAKAMI,-31.240000000000002,-39.129999999999995,9300,19300,Collectibles,Ethereum,26,48.18652849740933,375.05387594879994,22372.847999999998,0.465,0.001239821875786931,1020.01,Not interesting,Low OS,Emerging,Top Collectors,High gas,Whale
15,ENS: Ethereum Name Service,-1.7409999999999999,-26.229999999999997,400500,1200000,Domain Names,Ethereum,312,33.375,56.2776521328,18.3384,20.025,0.3558250787141302,153.06,Not interesting,Low OS,Emerging,Highly accesible,High gas,Whale
16,Unstoppable Domains,2750.0,-53.25,64600,319000,Domain Names,Ethereum,254900,20.25078369905956,2.217479328,18.3384,3.23,1.4566088437510791,6.03,Not interesting,Very low OS,Community,Highly accesible,High gas,Shark
17,Decentraland Names,-100.0,104.92999999999999,13300,34000,Domain Names,Ethereum,2235,39.11764705882353,1.6013274264,55.01519999999999,0.665,0.41528046609119146,4.36,Not interesting,Low OS,Emerging,Middle Accesible,High gas,Shark
18,Cryptovoxels Nammes,0.0,-100.0,2600,9500,Domain Names,Ethereum,81800,27.368421052631582,0.029433132,55.01519999999999,0.13,4.416791254155351,0.08,Not interesting,Not interesting,Community,Middle Accesible,High gas,Fish
19,Domains.Kred,0.0,0.0,17,24,Domain Names,Ethereum,56500,70.83333333333334,0.0108379944,7151.976,0.00085,0.07842779472187215,0.03,Not interesting,Not interesting,Community,Top Collectors,Medium gas,Fish
20,WVRPS by WarpSound (Official),132.5,-42.68,4700,10000,Music,Ethereum,26400,47.0,11.017343952,256.7376,0.235,0.021330004856328372,29.96,Not interesting,Low OS,Potential community,Middle Accesible,High gas,Whale
21,The Orbs by BT,0.0,-8.200000000000001,1400,3300,Music,Ethereum,622700,42.42424242424242,4.4723506535999995,550.1519999999999,0.07,0.015651724433470755,12.16,Not interesting,Low OS,Community,Top Collectors,Medium gas,Shark
22,EulerBeats Genesis,0.0,0.0,431,54,Music,Ethereum,14100,798.1481481481482,4.227294614399999,2017.2240000000002,0.02155,0.0050978230678768765,11.5,Not interesting,Massive OS,Potential community,Top Collectors,Medium gas,Shark
23,EulerBeats Enigma,0.0,0.0,101,54,Music,Ethereum,14100,187.03703703703704,3.6902545703999996,0.0,0.00505,0.0013684692759428282,10.04,Not interesting,Massive OS,Potential community,Not interesting,Medium gas,Shark
24,Audioglyphs,0.0,15.2,2700,10000,Music,Ethereum,3920,27.0,2.0426593607999997,550.1519999999999,0.135,0.06609031470970655,5.56,Not interesting,Low OS,Emerging,Top Collectors,High gas,Shark
25,Justin Aversano - Twin Flames - Collection of 100 Twins Portraits,0.0,-100.0,88,100,Photography,Ethereum,78600,88.0,9.4968338544,206307.0,0.0044,0.0004633123067601552,25.83,Not interesting,Medium OS,Community,Top Collectors,Medium gas,Whale
