Collection,Volume,24 hs %,7 d %,Floor,Owners,Items,Category,Chain,Crypto,Is +1 category?,Marketplace,Twitter followers,Volume (USD),Floor (USD)
goblintown.wtf,12659.89,0.56770,5.6201,2.9,4500,10000,New,Ethereum,ETH,0,,39500,23216212.68,5318.136
Chimpers,8266.96,-0.35620,-0.7358,1.98,2800,5600,New,Ethereum,ETH,0,,106700,15160281.93,3631.0032
GENE_SIS: The Girls of Armament,5560.67,-0.42520,-0.2929,0.21,4500,10000,New,Ethereum,ETH,0,,236800,10197379.07,385.1064
AINightbirds,5009.38,-0.53600,,0.23,4700,10000,New,Ethereum,ETH,0,,11200,9186401.419,421.7832
Moonbirds Oddities,3731.35,-0.18560,,2.74,6200,10000,New,Ethereum,ETH,0,,201900,6842698.884,5024.7216
Cryptopunks,910577.63,-0.63180,-0.2552,,3500,10000,Art,Ethereum,ETH,1,,227700,1669853681,0
Bored Ape Yacht Club,582692.73,1.5323,-0.1472,83.85,6300,10000,Art,Ethereum,ETH,1,,955700,1068565236,153767.484
Rarible,101166.19,-0.01810,-0.4579,,214100,315700,Art,Ethereum,ETH,0,1,477100,185522605.9,0
SuperRare,67121.8,-0.94300,-0.42,0.15,6800,31700,Art,Ethereum,ETH,0,1,314200,123090641.7,275.076
Karafuru,43550.66,-0.80870,-0.5861,1.05,3700,5600,Art,Ethereum,ETH,0,,419700,79864942.33,1925.532
Cryptopunks,910577.63,-0.63180,-0.2552,,3500,10000,Collectibles,Ethereum,ETH,1,,227700,1669853681,0
Bored Ape Yacht Club,582692.73,1.5323,-0.1472,83.85,6300,10000,Collectibles,Ethereum,ETH,1,,955700,1068565236,153767.484
Mutant Ape Tatch Club,405447.57,-0.42630,-0.0889,16.29,12600,19400,Collectibles,Ethereum,ETH,0,,1900,743525971.8,29873.2536
Azuki,244220.65,-0.31670,-0.0048,9.84,5100,10000,Collectibles,Ethereum,ETH,0,,311600,447861596.8,18044.9856
Clone X  X TAKASHI MURAKAMI,204518.32,-0.31240,-0.3913,12.2,9300,19300,Collectibles,Ethereum,ETH,0,,26,375053875.9,22372.848
ENS: Ethereum Name Service,30688.42,-0.01741,-0.2623,0.01,400500,1200000,Domain Names,Ethereum,ETH,0,,312,56277652.13,18.3384
Unstoppable Domains,1209.2,27.5,-0.5325,0.01,64600,319000,Domain Names,Ethereum,ETH,0,,254900,2217479.328,18.3384
Decentraland Names,873.21,-1,1.0493,0.03,13300,34000,Domain Names,Ethereum,ETH,0,,2235,1601327.426,55.0152
Cryptovoxels Nammes,16.05,,-1,0.03,2600,9500,Domain Names,Ethereum,ETH,0,,81800,29433.132,55.0152
Domains.Kred,5.91,,,3.9,17,24,Domain Names,Ethereum,ETH,0,,56500,10837.9944,7151.976
WVRPS by WarpSound (Official),6007.8,1.325,-0.4268,0.14,4700,10000,Music,Ethereum,ETH,0,,26400,11017343.95,256.7376
The Orbs by BT,2438.79,,-0.082,0.3,1400,3300,Music,Ethereum,ETH,0,,622700,4472350.654,550.152
EulerBeats Genesis,2305.16,,,1.1,431,54,Music,Ethereum,ETH,0,,14100,4227294.614,2017.224
EulerBeats Enigma,2012.31,,,,101,54,Music,Ethereum,ETH,0,,14100,3690254.57,0
Audioglyphs,1113.87,,0.152,0.3,2700,10000,Music,Ethereum,ETH,0,,3920,2042659.361,550.152
Justin Aversano - Twin Flames - Collection of 100 Twins Portraits,5178.66,,-1,112.5,88,100,Photography,Ethereum,ETH,0,,78600,9496833.854,206307
Where My Vans Go,3564.3,-1,-0.7529,45,102,123,Photography,Ethereum,ETH,0,,119000,6536355.912,82522.8
Women Unite - 10k Assemble,701.64,0.1063,-0.4884,0.28,1500,6700,Photography,Ethereum,ETH,0,,9615,1286695.498,513.4752
First Day Out by DrifterShoots,377.39,0.1515,-0.5323,0.04,6700,10400,Photography,Ethereum,ETH,0,,119000,692072.8776,73.3536
Editions x Guido,361.35,-0.3373,-0.1145,0.05,10400,2,Photography,Ethereum,ETH,0,,25800,662658.084,91.692
Sorare,50265.6,,0.0539,0.01,17400,330100,Sports,Ethereum,ETH,1,1,100800,92179067.9,18.3384
The Association,5651.71,-0.2585,-0.03549,0.02,15400,30000,Sports,Ethereum,ETH,0,,27800,10364331.87,36.6768
F1 Delta Time,4204.06,,-0.7928,0.01,1800,40500,Sports,Ethereum,ETH,0,,,7709573.39,18.3384
Legionfarm Gaming Heroes #1,3390.77,-1,,,428,3000,Sports,Ethereum,ETH,0,,9082,6218129.657,0
MLB Champions,3312.11,0.35,-0.9825,0.01,2700,249100,Sports,Ethereum,ETH,0,,3994,6073879.802,18.3384
Parallel Alpha,66222.53,-0.7392,1,0.01,45600,535,Trading Cards,Ethereum,ETH,0,,97200,121441524.4,18.3384
Sorare,50265.6,,0.0539,0.01,17400,330100,Trading Cards,Ethereum,ETH,1,,100800,92179067.9,18.3384
My Curio Cards,37547.86,-0.214,0.0539,0.25,5000,30,Trading Cards,Ethereum,ETH,0,,14400,68856767.58,458.46
Meme Ltd.,4803.13,,2.7596,0.01,8400,522,Trading Cards,Ethereum,ETH,0,,23000,8808171.919,18.3384
Playing Arts Crypto Edition,4414.55,-1,-0.3854,0.02,1500,7800,Trading Cards,Ethereum,ETH,0,,6501,8095578.372,36.6768
Emblem Vault [Ethereum],33270.59,-0.6387,-0.6704,,5600,26100,Utility,Ethereum,ETH,0,,5361,61012938.77,0
Metroverse Genesis,24898.01,0.303,-0.3788,0.3,297,10000,Utility,Ethereum,ETH,0,,273300,45658966.66,550.152
Project NANOPASS,16493.35,-0.0689,-0.1941,1.85,4000,5600,Utility,Ethereum,ETH,0,,1780,30246164.96,3392.604
